season,game_date,player,team,position,minutes,points,rebounds,assists
2023,2023-10-18,Alysha Clark,Aces,F,37,10,8,2
2023,2023-10-18,A'ja Wilson,Aces,F,39,24,16,0
2023,2023-10-18,Cayla George,Aces,F,30,11,4,3
2023,2023-10-18,Kelsey Plum,Aces,G,40,7,8,5
2023,2023-10-18,Jackie Young,Aces,G,37,16,2,7
2023,2023-10-18,Sydney Colson,Aces,G,15,2,0,1
2023,2023-10-18,Riquna Williams,Aces,G,0,0,0,0
2023,2023-10-18,Kierstan Bell,Aces,G,2,0,0,0
2023,2023-10-18,Betnijah Laney,Liberty,F,38,15,4,4
2023,2023-10-18,Breanna Stewart,Liberty,F,38,10,14,5
2023,2023-10-18,Jonquel Jones,Liberty,F,33,6,11,1
2023,2023-10-18,Courtney Vandersloot,Liberty,G,35,19,7,6
2023,2023-10-18,Sabrina Ionescu,Liberty,G,36,13,3,3
2023,2023-10-18,Kayla Thornton,Liberty,F,9,3,0,0
2023,2023-10-18,Stefanie Dolson,Liberty,C,4,2,0,0
2023,2023-10-18,Han Xu,Liberty,C,0,0,0,0
2023,2023-10-18,Marine Johannes,Liberty,G,7,1,0,0
2023,2023-10-15,A'ja Wilson,Aces,F,35,16,11,1
2023,2023-10-15,Kiah Stokes,Aces,C,19,0,9,1
2023,2023-10-15,Chelsea Gray,Aces,G,34,11,3,2
2023,2023-10-15,Kelsey Plum,Aces,G,40,29,2,2
2023,2023-10-15,Jackie Young,Aces,G,38,8,3,5
2023,2023-10-15,Alysha Clark,Aces,F,27,9,5,2
2023,2023-10-15,Cayla George,Aces,F,2,0,0,0
2023,2023-10-15,Alaina Coates,Aces,C,2,0,0,0
2023,2023-10-15,Sydney Colson,Aces,G,2,0,1,0
2023,2023-10-15,Kierstan Bell,Aces,G,3,0,0,0
2023,2023-10-15,Betnijah Laney,Liberty,F,35,12,3,2
2023,2023-10-15,Breanna Stewart,Liberty,F,35,20,12,4
2023,2023-10-15,Jonquel Jones,Liberty,F,34,27,8,3
2023,2023-10-15,Courtney Vandersloot,Liberty,G,32,12,7,6
2023,2023-10-15,Sabrina Ionescu,Liberty,G,35,9,3,11
2023,2023-10-15,Kayla Thornton,Liberty,F,9,6,2,0
2023,2023-10-15,Nyara Sabally,Liberty,F,1,0,0,1
2023,2023-10-15,Stefanie Dolson,Liberty,C,3,0,0,0
2023,2023-10-15,Marine Johannes,Liberty,G,14,1,0,1
2023,2023-10-15,Jocelyn Willoughby,Liberty,G,1,0,0,0
2023,2023-10-11,Betnijah Laney,Liberty,F,32,12,0,5
2023,2023-10-11,Breanna Stewart,Liberty,F,36,14,13,3
2023,2023-10-11,Jonquel Jones,Liberty,F,30,22,10,0
2023,2023-10-11,Courtney Vandersloot,Liberty,G,26,9,4,4
2023,2023-10-11,Sabrina Ionescu,Liberty,G,29,10,4,3
2023,2023-10-11,Kayla Thornton,Liberty,F,13,2,1,0
2023,2023-10-11,Nyara Sabally,Liberty,F,2,0,0,0
2023,2023-10-11,Stefanie Dolson,Liberty,C,10,2,1,1
2023,2023-10-11,Marine Johannes,Liberty,G,19,3,1,3
2023,2023-10-11,Jocelyn Willoughby,Liberty,G,3,2,1,0
2023,2023-10-11,A'ja Wilson,Aces,F,31,26,15,3
2023,2023-10-11,Kiah Stokes,Aces,C,30,8,7,2
2023,2023-10-11,Chelsea Gray,Aces,G,37,14,6,11
2023,2023-10-11,Kelsey Plum,Aces,G,36,23,1,8
2023,2023-10-11,Jackie Young,Aces,G,32,24,8,4
2023,2023-10-11,Alysha Clark,Aces,F,21,7,2,2
2023,2023-10-11,Cayla George,Aces,F,4,0,0,1
2023,2023-10-11,Alaina Coates,Aces,C,2,0,0,0
2023,2023-10-11,Sydney Colson,Aces,G,4,0,1,0
2023,2023-10-11,Kierstan Bell,Aces,G,4,2,0,0
2023,2023-10-08,Betnijah Laney,Liberty,F,36,11,3,1
2023,2023-10-08,Breanna Stewart,Liberty,F,36,21,9,2
2023,2023-10-08,Jonquel Jones,Liberty,F,34,16,10,1
2023,2023-10-08,Courtney Vandersloot,Liberty,G,26,10,0,6
2023,2023-10-08,Sabrina Ionescu,Liberty,G,34,7,5,5
2023,2023-10-08,Kayla Thornton,Liberty,F,8,3,0,0
2023,2023-10-08,Nyara Sabally,Liberty,F,2,0,0,0
2023,2023-10-08,Stefanie Dolson,Liberty,C,2,0,0,0
2023,2023-10-08,Marine Johannes,Liberty,G,20,14,3,2
2023,2023-10-08,Jocelyn Willoughby,Liberty,G,2,0,0,0
2023,2023-10-08,A'ja Wilson,Aces,F,35,19,8,2
2023,2023-10-08,Kiah Stokes,Aces,C,22,0,4,3
2023,2023-10-08,Chelsea Gray,Aces,G,37,20,6,9
2023,2023-10-08,Kelsey Plum,Aces,G,36,26,5,1
2023,2023-10-08,Jackie Young,Aces,G,37,26,5,4
2023,2023-10-08,Alysha Clark,Aces,F,28,8,5,2
2023,2023-10-08,Cayla George,Aces,F,1,0,0,0
2023,2023-10-08,Alaina Coates,Aces,C,1,0,1,0
2023,2023-10-08,Sydney Colson,Aces,G,1,0,0,0
